Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - GSY.txt

Data for: 2017-01-03 11:10:00 UTC - 2017-12-29 20:40:00 UTC
Generated: 2018-07-16 10:02:37 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
GSY	2017-01-03 15:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	10:40:00	US/Eastern
GSY	2017-01-03 15:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	10:55:00	US/Eastern
GSY	2017-01-03 16:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	11:10:00	US/Eastern
GSY	2017-01-03 16:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	11:25:00	US/Eastern
GSY	2017-01-03 16:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	11:40:00	US/Eastern
GSY	2017-01-03 16:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	11:55:00	US/Eastern
GSY	2017-01-03 17:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	12:10:00	US/Eastern
GSY	2017-01-03 17:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	12:25:00	US/Eastern
GSY	2017-01-03 17:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	12:40:00	US/Eastern
GSY	2017-01-03 17:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	12:55:00	US/Eastern
GSY	2017-01-03 18:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	13:10:00	US/Eastern
GSY	2017-01-03 18:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	13:25:00	US/Eastern
GSY	2017-01-03 18:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	13:40:00	US/Eastern
GSY	2017-01-03 18:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	13:55:00	US/Eastern
GSY	2017-01-03 19:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	14:10:00	US/Eastern
GSY	2017-01-03 19:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	14:25:00	US/Eastern
GSY	2017-01-03 19:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	14:40:00	US/Eastern
GSY	2017-01-03 19:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	14:55:00	US/Eastern
GSY	2017-01-03 20:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	15:10:00	US/Eastern
GSY	2017-01-03 20:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	15:25:00	US/Eastern
GSY	2017-01-03 20:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	15:40:00	US/Eastern
GSY	2017-01-03 20:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	15:55:00	US/Eastern
GSY	2017-01-03 21:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	16:10:00	US/Eastern
GSY	2017-01-03 21:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	16:25:00	US/Eastern
GSY	2017-01-03 21:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	16:40:00	US/Eastern
GSY	2017-01-03 21:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	16:55:00	US/Eastern
GSY	2017-01-03 22:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-03	17:10:00	US/Eastern
GSY	2017-01-03 22:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	17:25:00	US/Eastern
GSY	2017-01-03 22:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	17:40:00	US/Eastern
GSY	2017-01-03 22:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	17:55:00	US/Eastern
GSY	2017-01-03 23:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	18:10:00	US/Eastern
GSY	2017-01-03 23:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	18:25:00	US/Eastern
GSY	2017-01-03 23:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	18:40:00	US/Eastern
GSY	2017-01-03 23:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	18:55:00	US/Eastern
GSY	2017-01-04 00:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	19:10:00	US/Eastern
GSY	2017-01-04 00:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	19:25:00	US/Eastern
GSY	2017-01-04 00:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	19:40:00	US/Eastern
GSY	2017-01-04 00:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	19:55:00	US/Eastern
GSY	2017-01-04 01:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	20:10:00	US/Eastern
GSY	2017-01-04 01:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	20:25:00	US/Eastern
GSY	2017-01-04 01:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	20:40:00	US/Eastern
GSY	2017-01-04 01:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	20:55:00	US/Eastern
GSY	2017-01-04 02:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	21:10:00	US/Eastern
GSY	2017-01-04 02:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	21:25:00	US/Eastern
GSY	2017-01-04 02:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	21:40:00	US/Eastern
GSY	2017-01-04 02:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	21:55:00	US/Eastern
GSY	2017-01-04 03:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	22:10:00	US/Eastern
GSY	2017-01-04 03:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	22:25:00	US/Eastern
GSY	2017-01-04 03:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	22:40:00	US/Eastern
GSY	2017-01-04 03:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	22:55:00	US/Eastern
GSY	2017-01-04 04:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	23:10:00	US/Eastern
GSY	2017-01-04 04:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	23:25:00	US/Eastern
GSY	2017-01-04 04:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	23:40:00	US/Eastern
GSY	2017-01-04 04:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-03	23:55:00	US/Eastern
GSY	2017-01-04 05:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	00:10:00	US/Eastern
GSY	2017-01-04 05:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	00:25:00	US/Eastern
GSY	2017-01-04 05:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	00:40:00	US/Eastern
GSY	2017-01-04 05:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	00:55:00	US/Eastern
GSY	2017-01-04 06:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	01:10:00	US/Eastern
GSY	2017-01-04 06:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	01:25:00	US/Eastern
GSY	2017-01-04 06:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	01:40:00	US/Eastern
GSY	2017-01-04 06:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	01:55:00	US/Eastern
GSY	2017-01-04 07:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	02:10:00	US/Eastern
GSY	2017-01-04 07:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	02:25:00	US/Eastern
GSY	2017-01-04 07:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	02:40:00	US/Eastern
GSY	2017-01-04 07:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	02:55:00	US/Eastern
GSY	2017-01-04 08:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	03:10:00	US/Eastern
GSY	2017-01-04 08:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	03:25:00	US/Eastern
GSY	2017-01-04 08:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	03:40:00	US/Eastern
GSY	2017-01-04 08:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	03:55:00	US/Eastern
GSY	2017-01-04 09:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	04:10:00	US/Eastern
GSY	2017-01-04 09:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	04:25:00	US/Eastern
GSY	2017-01-04 09:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	04:40:00	US/Eastern
GSY	2017-01-04 09:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	04:55:00	US/Eastern
GSY	2017-01-04 10:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	05:10:00	US/Eastern
GSY	2017-01-04 10:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	05:25:00	US/Eastern
GSY	2017-01-04 10:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	05:40:00	US/Eastern
GSY	2017-01-04 10:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	2	0.35	0.587	2.81	1.0	2.941	0.0	2017-01-04	05:55:00	US/Eastern
GSY	2017-01-04 11:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	06:10:00	US/Eastern
GSY	2017-01-04 11:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	06:25:00	US/Eastern
GSY	2017-01-04 11:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	06:40:00	US/Eastern
GSY	2017-01-04 11:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	06:55:00	US/Eastern
GSY	2017-01-04 12:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	07:10:00	US/Eastern
GSY	2017-01-04 12:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	07:25:00	US/Eastern
GSY	2017-01-04 12:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	07:40:00	US/Eastern
GSY	2017-01-04 12:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	07:55:00	US/Eastern
GSY	2017-01-04 13:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	08:10:00	US/Eastern
GSY	2017-01-04 13:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	08:25:00	US/Eastern
GSY	2017-01-04 13:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	08:40:00	US/Eastern
GSY	2017-01-04 13:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.13	0.0	2017-01-04	08:55:00	US/Eastern
GSY	2017-01-04 14:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.3	0.47	1.489	1.0	2.005	0.0	2017-01-04	09:10:00	US/Eastern
GSY	2017-01-04 14:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.301	0.47	1.487	1.0	2.005	0.0	2017-01-04	09:25:00	US/Eastern
GSY	2017-01-04 14:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.301	0.471	1.485	1.0	2.005	0.0	2017-01-04	09:40:00	US/Eastern
GSY	2017-01-04 14:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.302	0.471	1.483	1.0	2.005	0.0	2017-01-04	09:55:00	US/Eastern
GSY	2017-01-04 15:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.302	0.471	1.481	1.0	2.005	0.0	2017-01-04	10:10:00	US/Eastern
GSY	2017-01-04 15:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.303	0.471	1.48	1.0	2.005	0.0	2017-01-04	10:25:00	US/Eastern
GSY	2017-01-04 15:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.303	0.472	1.478	1.0	2.005	0.0	2017-01-04	10:40:00	US/Eastern
GSY	2017-01-04 15:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.304	0.472	1.476	1.0	2.005	0.0	2017-01-04	10:55:00	US/Eastern
GSY	2017-01-04 16:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.304	0.472	1.474	1.0	2.005	0.0	2017-01-04	11:10:00	US/Eastern
GSY	2017-01-04 16:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.305	0.472	1.472	1.0	2.005	0.0	2017-01-04	11:25:00	US/Eastern
GSY	2017-01-04 16:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.305	0.472	1.471	1.0	2.005	0.0	2017-01-04	11:40:00	US/Eastern
GSY	2017-01-04 16:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.306	0.473	1.469	1.0	2.005	0.0	2017-01-04	11:55:00	US/Eastern
GSY	2017-01-04 17:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.306	0.473	1.467	1.0	2.005	0.0	2017-01-04	12:10:00	US/Eastern
GSY	2017-01-04 17:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.307	0.473	1.465	1.0	2.005	0.0	2017-01-04	12:25:00	US/Eastern
GSY	2017-01-04 17:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.307	0.473	1.463	1.0	2.005	0.0	2017-01-04	12:40:00	US/Eastern
GSY	2017-01-04 17:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.308	0.474	1.462	1.0	2.005	0.0	2017-01-04	12:55:00	US/Eastern
GSY	2017-01-04 18:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.308	0.474	1.46	1.0	2.005	0.0	2017-01-04	13:10:00	US/Eastern
GSY	2017-01-04 18:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.309	0.474	1.458	1.0	2.005	0.0	2017-01-04	13:25:00	US/Eastern
GSY	2017-01-04 18:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.309	0.474	1.456	1.0	2.005	0.0	2017-01-04	13:40:00	US/Eastern
GSY	2017-01-04 18:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.31	0.474	1.454	1.0	2.005	0.0	2017-01-04	13:55:00	US/Eastern
GSY	2017-01-04 19:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.31	0.475	1.453	1.0	2.005	0.0	2017-01-04	14:10:00	US/Eastern
GSY	2017-01-04 19:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.311	0.475	1.451	1.0	2.005	0.0	2017-01-04	14:25:00	US/Eastern
GSY	2017-01-04 19:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.311	0.475	1.449	1.0	2.005	0.0	2017-01-04	14:40:00	US/Eastern
GSY	2017-01-04 19:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.312	0.475	1.447	1.0	2.005	0.0	2017-01-04	14:55:00	US/Eastern
GSY	2017-01-04 20:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.313	0.476	1.446	1.0	2.005	0.0	2017-01-04	15:10:00	US/Eastern
GSY	2017-01-04 20:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.313	0.476	1.444	1.0	2.005	0.0	2017-01-04	15:25:00	US/Eastern
GSY	2017-01-04 20:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.314	0.476	1.442	1.0	2.005	0.0	2017-01-04	15:40:00	US/Eastern
GSY	2017-01-04 20:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.314	0.476	1.44	1.0	2.005	0.0	2017-01-04	15:55:00	US/Eastern
GSY	2017-01-04 21:10:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.315	0.476	1.439	1.0	2.005	0.0	2017-01-04	16:10:00	US/Eastern
GSY	2017-01-04 21:25:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.315	0.477	1.437	1.0	2.005	0.0	2017-01-04	16:25:00	US/Eastern
GSY	2017-01-04 21:40:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.316	0.477	1.435	1.0	2.005	0.0	2017-01-04	16:40:00	US/Eastern
GSY	2017-01-04 21:55:00	0.0	-0.002	0.012	0.148	0.0	-0.001	0.009	0.161	1	0.316	0.477	1.434	1.0	2.005	0.0	2017-01-04	16:55:00	US/Eastern
