Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - PSCF.txt

Data for: 2016-01-29 09:55:00 UTC - 2016-12-27 13:55:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
PSCF	2016-01-29 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.152	0.368	2.301	1.0	2.448	0.0	2016-01-29	10:10:00	US/Eastern
PSCF	2016-01-29 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.153	0.369	2.297	1.0	2.448	0.0	2016-01-29	10:25:00	US/Eastern
PSCF	2016-01-29 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.153	0.369	2.292	1.0	2.448	0.0	2016-01-29	10:40:00	US/Eastern
PSCF	2016-01-29 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.154	0.37	2.288	1.0	2.448	0.0	2016-01-29	10:55:00	US/Eastern
PSCF	2016-01-29 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.154	0.37	2.283	1.0	2.448	0.0	2016-01-29	11:10:00	US/Eastern
PSCF	2016-01-29 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.155	0.371	2.278	1.0	2.448	0.0	2016-01-29	11:25:00	US/Eastern
PSCF	2016-01-29 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.155	0.372	2.274	1.0	2.448	0.0	2016-01-29	11:40:00	US/Eastern
PSCF	2016-01-29 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.156	0.372	2.269	1.0	2.448	0.0	2016-01-29	11:55:00	US/Eastern
PSCF	2016-01-29 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.156	0.373	2.265	1.0	2.448	0.0	2016-01-29	12:10:00	US/Eastern
PSCF	2016-01-29 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.157	0.373	2.26	1.0	2.448	0.0	2016-01-29	12:25:00	US/Eastern
PSCF	2016-01-29 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.157	0.374	2.256	1.0	2.448	0.0	2016-01-29	12:40:00	US/Eastern
PSCF	2016-01-29 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.158	0.374	2.252	1.0	2.448	0.0	2016-01-29	12:55:00	US/Eastern
PSCF	2016-01-29 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.158	0.375	2.247	1.0	2.448	0.0	2016-01-29	13:10:00	US/Eastern
PSCF	2016-01-29 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.159	0.375	2.243	1.0	2.448	0.0	2016-01-29	13:25:00	US/Eastern
PSCF	2016-01-29 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.159	0.376	2.238	1.0	2.448	0.0	2016-01-29	13:40:00	US/Eastern
PSCF	2016-01-29 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.16	0.376	2.234	1.0	2.448	0.0	2016-01-29	13:55:00	US/Eastern
PSCF	2016-01-29 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.16	0.377	2.23	1.0	2.448	0.0	2016-01-29	14:10:00	US/Eastern
PSCF	2016-01-29 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.161	0.377	2.226	1.0	2.448	0.0	2016-01-29	14:25:00	US/Eastern
PSCF	2016-01-29 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.161	0.378	2.221	1.0	2.448	0.0	2016-01-29	14:40:00	US/Eastern
PSCF	2016-01-29 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.162	0.378	2.217	1.0	2.448	0.0	2016-01-29	14:55:00	US/Eastern
PSCF	2016-01-29 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.163	0.378	2.213	1.0	2.448	0.0	2016-01-29	15:10:00	US/Eastern
PSCF	2016-01-29 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.163	0.379	2.209	1.0	2.448	0.0	2016-01-29	15:25:00	US/Eastern
PSCF	2016-01-29 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.164	0.379	2.204	1.0	2.448	0.0	2016-01-29	15:40:00	US/Eastern
PSCF	2016-01-29 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.164	0.38	2.2	1.0	2.448	0.0	2016-01-29	15:55:00	US/Eastern
PSCF	2016-01-29 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.165	0.38	2.196	1.0	2.448	0.0	2016-01-29	16:10:00	US/Eastern
PSCF	2016-01-29 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.165	0.381	2.192	1.0	2.448	0.0	2016-01-29	16:25:00	US/Eastern
PSCF	2016-01-29 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.166	0.381	2.188	1.0	2.448	0.0	2016-01-29	16:40:00	US/Eastern
PSCF	2016-01-29 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.166	0.382	2.184	1.0	2.448	0.0	2016-01-29	16:55:00	US/Eastern
PSCF	2016-01-29 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.167	0.382	2.179	1.0	2.448	0.0	2016-01-29	17:10:00	US/Eastern
PSCF	2016-01-29 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.167	0.383	2.175	1.0	2.448	0.0	2016-01-29	17:25:00	US/Eastern
PSCF	2016-01-29 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.168	0.383	2.171	1.0	2.448	0.0	2016-01-29	17:40:00	US/Eastern
PSCF	2016-01-29 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.168	0.384	2.167	1.0	2.448	0.0	2016-01-29	17:55:00	US/Eastern
PSCF	2016-01-29 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.169	0.384	2.163	1.0	2.448	0.0	2016-01-29	18:10:00	US/Eastern
PSCF	2016-01-29 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.169	0.385	2.159	1.0	2.448	0.0	2016-01-29	18:25:00	US/Eastern
PSCF	2016-01-29 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.17	0.385	2.155	1.0	2.448	0.0	2016-01-29	18:40:00	US/Eastern
PSCF	2016-01-29 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.17	0.386	2.151	1.0	2.448	0.0	2016-01-29	18:55:00	US/Eastern
PSCF	2016-01-30 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.171	0.386	2.147	1.0	2.448	0.0	2016-01-29	19:10:00	US/Eastern
PSCF	2016-01-30 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.171	0.387	2.143	1.0	2.448	0.0	2016-01-29	19:25:00	US/Eastern
PSCF	2016-01-30 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.172	0.387	2.139	1.0	2.448	0.0	2016-01-29	19:40:00	US/Eastern
PSCF	2016-01-30 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.172	0.388	2.136	1.0	2.448	0.0	2016-01-29	19:55:00	US/Eastern
PSCF	2016-01-30 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.173	0.388	2.132	1.0	2.448	0.0	2016-01-29	20:10:00	US/Eastern
PSCF	2016-01-30 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.173	0.388	2.128	1.0	2.448	0.0	2016-01-29	20:25:00	US/Eastern
PSCF	2016-01-30 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.174	0.389	2.124	1.0	2.448	0.0	2016-01-29	20:40:00	US/Eastern
PSCF	2016-01-30 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.174	0.389	2.12	1.0	2.448	0.0	2016-01-29	20:55:00	US/Eastern
PSCF	2016-01-30 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.175	0.39	2.116	1.0	2.448	0.0	2016-01-29	21:10:00	US/Eastern
PSCF	2016-01-30 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.176	0.39	2.112	1.0	2.448	0.0	2016-01-29	21:25:00	US/Eastern
PSCF	2016-01-30 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.176	0.391	2.109	1.0	2.448	0.0	2016-01-29	21:40:00	US/Eastern
PSCF	2016-01-30 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.177	0.391	2.105	1.0	2.448	0.0	2016-01-29	21:55:00	US/Eastern
PSCF	2016-01-30 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.177	0.392	2.101	1.0	2.448	0.0	2016-01-29	22:10:00	US/Eastern
PSCF	2016-01-30 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.178	0.392	2.097	1.0	2.448	0.0	2016-01-29	22:25:00	US/Eastern
PSCF	2016-01-30 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.178	0.393	2.094	1.0	2.448	0.0	2016-01-29	22:40:00	US/Eastern
PSCF	2016-01-30 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.179	0.393	2.09	1.0	2.448	0.0	2016-01-29	22:55:00	US/Eastern
PSCF	2016-01-30 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.179	0.393	2.086	1.0	2.448	0.0	2016-01-29	23:10:00	US/Eastern
PSCF	2016-01-30 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.18	0.394	2.083	1.0	2.448	0.0	2016-01-29	23:25:00	US/Eastern
PSCF	2016-01-30 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.18	0.394	2.079	1.0	2.448	0.0	2016-01-29	23:40:00	US/Eastern
PSCF	2016-01-30 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.181	0.395	2.075	1.0	2.448	0.0	2016-01-29	23:55:00	US/Eastern
PSCF	2016-01-30 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.181	0.395	2.072	1.0	2.448	0.0	2016-01-30	00:10:00	US/Eastern
PSCF	2016-01-30 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.182	0.396	2.068	1.0	2.448	0.0	2016-01-30	00:25:00	US/Eastern
PSCF	2016-01-30 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.182	0.396	2.064	1.0	2.448	0.0	2016-01-30	00:40:00	US/Eastern
PSCF	2016-01-30 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.183	0.397	2.061	1.0	2.448	0.0	2016-01-30	00:55:00	US/Eastern
PSCF	2016-01-30 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.183	0.397	2.057	1.0	2.448	0.0	2016-01-30	01:10:00	US/Eastern
PSCF	2016-01-30 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.184	0.397	2.054	1.0	2.448	0.0	2016-01-30	01:25:00	US/Eastern
PSCF	2016-01-30 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.184	0.398	2.05	1.0	2.448	0.0	2016-01-30	01:40:00	US/Eastern
PSCF	2016-01-30 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.185	0.398	2.046	1.0	2.448	0.0	2016-01-30	01:55:00	US/Eastern
PSCF	2016-01-30 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.185	0.399	2.043	1.0	2.448	0.0	2016-01-30	02:10:00	US/Eastern
PSCF	2016-01-30 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.186	0.399	2.039	1.0	2.448	0.0	2016-01-30	02:25:00	US/Eastern
PSCF	2016-01-30 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.186	0.4	2.036	1.0	2.448	0.0	2016-01-30	02:40:00	US/Eastern
PSCF	2016-01-30 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.187	0.4	2.032	1.0	2.448	0.0	2016-01-30	02:55:00	US/Eastern
PSCF	2016-01-30 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.188	0.4	2.029	1.0	2.448	0.0	2016-01-30	03:10:00	US/Eastern
PSCF	2016-01-30 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.188	0.401	2.025	1.0	2.448	0.0	2016-01-30	03:25:00	US/Eastern
PSCF	2016-01-30 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.189	0.401	2.022	1.0	2.448	0.0	2016-01-30	03:40:00	US/Eastern
PSCF	2016-01-30 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.189	0.402	2.019	1.0	2.448	0.0	2016-01-30	03:55:00	US/Eastern
PSCF	2016-01-30 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.19	0.402	2.015	1.0	2.448	0.0	2016-01-30	04:10:00	US/Eastern
PSCF	2016-01-30 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.19	0.403	2.012	1.0	2.448	0.0	2016-01-30	04:25:00	US/Eastern
PSCF	2016-01-30 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.191	0.403	2.008	1.0	2.448	0.0	2016-01-30	04:40:00	US/Eastern
PSCF	2016-02-01 20:25:00	0.05	0.003	0.011	4.249	0.05	0.002	0.011	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	15:25:00	US/Eastern
PSCF	2016-02-01 20:40:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	15:40:00	US/Eastern
PSCF	2016-02-01 20:55:00	0.05	0.003	0.011	4.249	0.049	0.002	0.011	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	15:55:00	US/Eastern
PSCF	2016-02-01 21:10:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	16:10:00	US/Eastern
PSCF	2016-02-01 21:25:00	0.05	0.003	0.011	4.249	0.048	0.002	0.011	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	16:25:00	US/Eastern
PSCF	2016-02-01 21:40:00	0.05	0.003	0.011	4.249	0.047	0.002	0.011	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	16:40:00	US/Eastern
PSCF	2016-02-01 21:55:00	0.05	0.003	0.011	4.249	0.047	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	16:55:00	US/Eastern
PSCF	2016-02-01 22:10:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	17:10:00	US/Eastern
PSCF	2016-02-01 22:25:00	0.05	0.003	0.011	4.249	0.046	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	17:25:00	US/Eastern
PSCF	2016-02-01 22:40:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	17:40:00	US/Eastern
PSCF	2016-02-01 22:55:00	0.05	0.003	0.011	4.249	0.045	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	17:55:00	US/Eastern
PSCF	2016-02-01 23:10:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	18:10:00	US/Eastern
PSCF	2016-02-01 23:25:00	0.05	0.003	0.011	4.249	0.044	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	18:25:00	US/Eastern
PSCF	2016-02-01 23:40:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	18:40:00	US/Eastern
PSCF	2016-02-01 23:55:00	0.05	0.003	0.011	4.249	0.043	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	18:55:00	US/Eastern
PSCF	2016-02-02 00:10:00	0.05	0.003	0.011	4.249	0.042	0.002	0.01	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	19:10:00	US/Eastern
PSCF	2016-02-02 00:25:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	19:25:00	US/Eastern
PSCF	2016-02-02 00:40:00	0.05	0.003	0.011	4.249	0.042	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	19:40:00	US/Eastern
PSCF	2016-02-02 00:55:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	19:55:00	US/Eastern
PSCF	2016-02-02 01:10:00	0.05	0.003	0.011	4.249	0.041	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	20:10:00	US/Eastern
PSCF	2016-02-02 01:25:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	20:25:00	US/Eastern
PSCF	2016-02-02 01:40:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	20:40:00	US/Eastern
PSCF	2016-02-02 01:55:00	0.05	0.003	0.011	4.249	0.04	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	20:55:00	US/Eastern
PSCF	2016-02-02 02:10:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	21:10:00	US/Eastern
PSCF	2016-02-02 02:25:00	0.05	0.003	0.011	4.249	0.039	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	21:25:00	US/Eastern
PSCF	2016-02-02 02:40:00	0.05	0.003	0.011	4.249	0.038	0.002	0.009	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	21:40:00	US/Eastern
PSCF	2016-02-02 02:55:00	0.05	0.003	0.011	4.249	0.038	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	21:55:00	US/Eastern
PSCF	2016-02-02 03:10:00	0.05	0.003	0.011	4.249	0.038	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	22:10:00	US/Eastern
PSCF	2016-02-02 03:25:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	22:25:00	US/Eastern
PSCF	2016-02-02 03:40:00	0.05	0.003	0.011	4.249	0.037	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	22:40:00	US/Eastern
PSCF	2016-02-02 03:55:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	22:55:00	US/Eastern
PSCF	2016-02-02 04:10:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	23:10:00	US/Eastern
PSCF	2016-02-02 04:25:00	0.05	0.003	0.011	4.249	0.036	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	23:25:00	US/Eastern
PSCF	2016-02-02 04:40:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	23:40:00	US/Eastern
PSCF	2016-02-02 04:55:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-01	23:55:00	US/Eastern
PSCF	2016-02-02 05:10:00	0.05	0.003	0.011	4.249	0.035	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	00:10:00	US/Eastern
PSCF	2016-02-02 05:25:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	00:25:00	US/Eastern
PSCF	2016-02-02 05:40:00	0.05	0.003	0.011	4.249	0.034	0.002	0.008	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	00:40:00	US/Eastern
PSCF	2016-02-02 05:55:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	00:55:00	US/Eastern
PSCF	2016-02-02 06:10:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	01:10:00	US/Eastern
PSCF	2016-02-02 06:25:00	0.05	0.003	0.011	4.249	0.033	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	01:25:00	US/Eastern
PSCF	2016-02-02 06:40:00	0.05	0.003	0.011	4.249	0.032	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	01:40:00	US/Eastern
PSCF	2016-02-02 06:55:00	0.05	0.003	0.011	4.249	0.032	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	01:55:00	US/Eastern
PSCF	2016-02-02 07:10:00	0.05	0.003	0.011	4.249	0.032	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	02:10:00	US/Eastern
PSCF	2016-02-02 07:25:00	0.05	0.003	0.011	4.249	0.031	0.002	0.007	4.249	1	0.2	0.41	1.949	1.0	2.508	0.0	2016-02-02	02:25:00	US/Eastern
