Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - XLFS.txt

Data for: 2016-01-20 15:40:00 UTC - 2016-12-17 23:10:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
XLFS	2016-05-04 07:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.163	0.378	2.213	1.0	2.396	0.0	2016-05-04	03:10:00	US/Eastern
XLFS	2016-05-04 07:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.162	0.378	2.217	1.0	2.396	0.0	2016-05-04	03:25:00	US/Eastern
XLFS	2016-05-04 07:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.161	0.378	2.221	1.0	2.396	0.0	2016-05-04	03:40:00	US/Eastern
XLFS	2016-05-04 07:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.161	0.377	2.226	1.0	2.396	0.0	2016-05-04	03:55:00	US/Eastern
XLFS	2016-05-04 08:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.16	0.377	2.23	1.0	2.396	0.0	2016-05-04	04:10:00	US/Eastern
XLFS	2016-05-04 08:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.16	0.376	2.234	1.0	2.396	0.0	2016-05-04	04:25:00	US/Eastern
XLFS	2016-05-04 08:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.159	0.376	2.238	1.0	2.396	0.0	2016-05-04	04:40:00	US/Eastern
XLFS	2016-05-04 08:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.159	0.375	2.243	1.0	2.396	0.0	2016-05-04	04:55:00	US/Eastern
XLFS	2016-05-04 09:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.158	0.375	2.247	1.0	2.396	0.0	2016-05-04	05:10:00	US/Eastern
XLFS	2016-05-04 09:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.158	0.374	2.252	1.0	2.396	0.0	2016-05-04	05:25:00	US/Eastern
XLFS	2016-05-04 09:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.157	0.374	2.256	1.0	2.396	0.0	2016-05-04	05:40:00	US/Eastern
XLFS	2016-05-04 09:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.157	0.373	2.26	1.0	2.396	0.0	2016-05-04	05:55:00	US/Eastern
XLFS	2016-05-04 10:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.156	0.373	2.265	1.0	2.396	0.0	2016-05-04	06:10:00	US/Eastern
XLFS	2016-05-04 10:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.156	0.372	2.269	1.0	2.396	0.0	2016-05-04	06:25:00	US/Eastern
XLFS	2016-05-04 10:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.155	0.372	2.274	1.0	2.396	0.0	2016-05-04	06:40:00	US/Eastern
XLFS	2016-05-04 10:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.155	0.371	2.278	1.0	2.396	0.0	2016-05-04	06:55:00	US/Eastern
XLFS	2016-05-04 11:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.154	0.37	2.283	1.0	2.396	0.0	2016-05-04	07:10:00	US/Eastern
XLFS	2016-05-04 11:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.154	0.37	2.288	1.0	2.396	0.0	2016-05-04	07:25:00	US/Eastern
XLFS	2016-05-04 11:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.153	0.369	2.292	1.0	2.396	0.0	2016-05-04	07:40:00	US/Eastern
XLFS	2016-05-04 11:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.153	0.369	2.297	1.0	2.396	0.0	2016-05-04	07:55:00	US/Eastern
XLFS	2016-05-04 12:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.152	0.368	2.301	1.0	2.396	0.0	2016-05-04	08:10:00	US/Eastern
XLFS	2016-05-04 12:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.152	0.368	2.306	1.0	2.396	0.0	2016-05-04	08:25:00	US/Eastern
XLFS	2016-05-04 12:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.151	0.367	2.311	1.0	2.396	0.0	2016-05-04	08:40:00	US/Eastern
XLFS	2016-05-04 12:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.151	0.367	2.315	1.0	2.396	0.0	2016-05-04	08:55:00	US/Eastern
XLFS	2016-05-04 13:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.15	0.366	2.32	1.0	2.355	0.0	2016-05-04	09:10:00	US/Eastern
XLFS	2016-05-04 13:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.151	0.367	2.315	1.0	2.355	0.0	2016-05-04	09:25:00	US/Eastern
XLFS	2016-05-04 13:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.151	0.367	2.311	1.0	2.355	0.0	2016-05-04	09:40:00	US/Eastern
XLFS	2016-05-04 13:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.152	0.368	2.306	1.0	2.355	0.0	2016-05-04	09:55:00	US/Eastern
XLFS	2016-05-04 14:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.152	0.368	2.301	1.0	2.355	0.0	2016-05-04	10:10:00	US/Eastern
XLFS	2016-05-04 14:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.153	0.369	2.297	1.0	2.355	0.0	2016-05-04	10:25:00	US/Eastern
XLFS	2016-05-04 14:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.153	0.369	2.292	1.0	2.355	0.0	2016-05-04	10:40:00	US/Eastern
XLFS	2016-05-04 14:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.154	0.37	2.288	1.0	2.355	0.0	2016-05-04	10:55:00	US/Eastern
XLFS	2016-05-04 15:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.154	0.37	2.283	1.0	2.355	0.0	2016-05-04	11:10:00	US/Eastern
XLFS	2016-05-04 15:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.155	0.371	2.278	1.0	2.355	0.0	2016-05-04	11:25:00	US/Eastern
XLFS	2016-05-04 15:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.155	0.372	2.274	1.0	2.355	0.0	2016-05-04	11:40:00	US/Eastern
XLFS	2016-05-04 15:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.156	0.372	2.269	1.0	2.355	0.0	2016-05-04	11:55:00	US/Eastern
XLFS	2016-05-04 16:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.156	0.373	2.265	1.0	2.355	0.0	2016-05-04	12:10:00	US/Eastern
XLFS	2016-05-04 16:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.157	0.373	2.26	1.0	2.355	0.0	2016-05-04	12:25:00	US/Eastern
XLFS	2016-05-04 16:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.157	0.374	2.256	1.0	2.355	0.0	2016-05-04	12:40:00	US/Eastern
XLFS	2016-05-04 16:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.158	0.374	2.252	1.0	2.355	0.0	2016-05-04	12:55:00	US/Eastern
XLFS	2016-05-04 17:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.158	0.375	2.247	1.0	2.355	0.0	2016-05-04	13:10:00	US/Eastern
XLFS	2016-05-04 17:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.159	0.375	2.243	1.0	2.355	0.0	2016-05-04	13:25:00	US/Eastern
XLFS	2016-05-04 17:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.159	0.376	2.238	1.0	2.355	0.0	2016-05-04	13:40:00	US/Eastern
XLFS	2016-05-04 17:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.16	0.376	2.234	1.0	2.355	0.0	2016-05-04	13:55:00	US/Eastern
XLFS	2016-05-04 18:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.16	0.377	2.23	1.0	2.355	0.0	2016-05-04	14:10:00	US/Eastern
XLFS	2016-05-04 18:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.161	0.377	2.226	1.0	2.355	0.0	2016-05-04	14:25:00	US/Eastern
XLFS	2016-05-04 18:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.161	0.378	2.221	1.0	2.355	0.0	2016-05-04	14:40:00	US/Eastern
XLFS	2016-05-04 18:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.162	0.378	2.217	1.0	2.355	0.0	2016-05-04	14:55:00	US/Eastern
XLFS	2016-05-04 19:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.163	0.378	2.213	1.0	2.355	0.0	2016-05-04	15:10:00	US/Eastern
XLFS	2016-05-04 19:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.163	0.379	2.209	1.0	2.355	0.0	2016-05-04	15:25:00	US/Eastern
XLFS	2016-05-04 19:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.164	0.379	2.204	1.0	2.355	0.0	2016-05-04	15:40:00	US/Eastern
XLFS	2016-05-04 19:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.164	0.38	2.2	1.0	2.355	0.0	2016-05-04	15:55:00	US/Eastern
XLFS	2016-05-04 20:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.165	0.38	2.196	1.0	2.355	0.0	2016-05-04	16:10:00	US/Eastern
XLFS	2016-05-04 20:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.165	0.381	2.192	1.0	2.355	0.0	2016-05-04	16:25:00	US/Eastern
XLFS	2016-05-04 20:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.166	0.381	2.188	1.0	2.355	0.0	2016-05-04	16:40:00	US/Eastern
XLFS	2016-05-04 20:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.166	0.382	2.184	1.0	2.355	0.0	2016-05-04	16:55:00	US/Eastern
XLFS	2016-05-04 21:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.167	0.382	2.179	1.0	2.355	0.0	2016-05-04	17:10:00	US/Eastern
XLFS	2016-05-04 21:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.167	0.383	2.175	1.0	2.355	0.0	2016-05-04	17:25:00	US/Eastern
XLFS	2016-05-04 21:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.168	0.383	2.171	1.0	2.355	0.0	2016-05-04	17:40:00	US/Eastern
XLFS	2016-05-04 21:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.168	0.384	2.167	1.0	2.355	0.0	2016-05-04	17:55:00	US/Eastern
XLFS	2016-05-04 22:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.169	0.384	2.163	1.0	2.355	0.0	2016-05-04	18:10:00	US/Eastern
XLFS	2016-05-04 22:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.169	0.385	2.159	1.0	2.355	0.0	2016-05-04	18:25:00	US/Eastern
XLFS	2016-05-04 22:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.17	0.385	2.155	1.0	2.355	0.0	2016-05-04	18:40:00	US/Eastern
XLFS	2016-05-04 22:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.17	0.386	2.151	1.0	2.355	0.0	2016-05-04	18:55:00	US/Eastern
XLFS	2016-05-04 23:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.171	0.386	2.147	1.0	2.355	0.0	2016-05-04	19:10:00	US/Eastern
XLFS	2016-05-04 23:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.171	0.387	2.143	1.0	2.355	0.0	2016-05-04	19:25:00	US/Eastern
XLFS	2016-05-04 23:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.172	0.387	2.139	1.0	2.355	0.0	2016-05-04	19:40:00	US/Eastern
XLFS	2016-05-04 23:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.172	0.388	2.136	1.0	2.355	0.0	2016-05-04	19:55:00	US/Eastern
XLFS	2016-05-05 00:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.173	0.388	2.132	1.0	2.355	0.0	2016-05-04	20:10:00	US/Eastern
XLFS	2016-05-05 00:25:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.173	0.388	2.128	1.0	2.355	0.0	2016-05-04	20:25:00	US/Eastern
XLFS	2016-05-05 00:40:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.174	0.389	2.124	1.0	2.355	0.0	2016-05-04	20:40:00	US/Eastern
XLFS	2016-05-05 00:55:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.174	0.389	2.12	1.0	2.355	0.0	2016-05-04	20:55:00	US/Eastern
XLFS	2016-05-05 01:10:00	0.0	0.008	0.035	-0.224	0.0	0.003	0.015	-0.224	1	0.175	0.39	2.116	1.0	2.355	0.0	2016-05-04	21:10:00	US/Eastern
XLFS	2016-06-09 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	09:55:00	US/Eastern
XLFS	2016-06-09 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	10:10:00	US/Eastern
XLFS	2016-06-09 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	10:25:00	US/Eastern
XLFS	2016-06-09 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	10:40:00	US/Eastern
XLFS	2016-06-09 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	10:55:00	US/Eastern
XLFS	2016-06-09 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	11:10:00	US/Eastern
XLFS	2016-06-09 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	11:25:00	US/Eastern
XLFS	2016-06-09 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	11:40:00	US/Eastern
XLFS	2016-06-09 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	11:55:00	US/Eastern
XLFS	2016-06-09 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	12:10:00	US/Eastern
XLFS	2016-06-09 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	12:25:00	US/Eastern
XLFS	2016-06-09 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	12:40:00	US/Eastern
XLFS	2016-06-09 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	12:55:00	US/Eastern
XLFS	2016-06-09 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	13:10:00	US/Eastern
XLFS	2016-06-09 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	13:25:00	US/Eastern
XLFS	2016-06-09 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	13:40:00	US/Eastern
XLFS	2016-06-09 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	13:55:00	US/Eastern
XLFS	2016-06-09 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	14:10:00	US/Eastern
XLFS	2016-06-09 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	14:25:00	US/Eastern
XLFS	2016-06-09 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	14:40:00	US/Eastern
XLFS	2016-06-09 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	14:55:00	US/Eastern
XLFS	2016-06-09 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	15:10:00	US/Eastern
XLFS	2016-06-09 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	15:25:00	US/Eastern
XLFS	2016-06-09 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	15:40:00	US/Eastern
XLFS	2016-06-09 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	15:55:00	US/Eastern
XLFS	2016-06-09 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	16:10:00	US/Eastern
XLFS	2016-06-09 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	16:25:00	US/Eastern
XLFS	2016-06-09 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	16:40:00	US/Eastern
XLFS	2016-06-09 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	16:55:00	US/Eastern
XLFS	2016-06-09 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	17:10:00	US/Eastern
XLFS	2016-06-09 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	17:25:00	US/Eastern
XLFS	2016-06-09 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	17:40:00	US/Eastern
XLFS	2016-06-09 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.05	0.224	4.249	1.0	1.696	0.0	2016-06-09	17:55:00	US/Eastern
XLFS	2016-06-09 22:10:00	-0.025	-0.001	0.006	-4.249	-0.025	-0.001	0.006	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	18:10:00	US/Eastern
XLFS	2016-06-09 22:25:00	-0.025	-0.001	0.006	-4.249	-0.025	-0.001	0.006	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	18:25:00	US/Eastern
XLFS	2016-06-09 22:40:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	18:40:00	US/Eastern
XLFS	2016-06-09 22:55:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	18:55:00	US/Eastern
XLFS	2016-06-09 23:10:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	19:10:00	US/Eastern
XLFS	2016-06-09 23:25:00	-0.025	-0.001	0.006	-4.249	-0.024	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	19:25:00	US/Eastern
XLFS	2016-06-09 23:40:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	19:40:00	US/Eastern
XLFS	2016-06-09 23:55:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	19:55:00	US/Eastern
XLFS	2016-06-10 00:10:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	20:10:00	US/Eastern
XLFS	2016-06-10 00:25:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	20:25:00	US/Eastern
XLFS	2016-06-10 00:40:00	-0.025	-0.001	0.006	-4.249	-0.023	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	20:40:00	US/Eastern
XLFS	2016-06-10 00:55:00	-0.025	-0.001	0.006	-4.249	-0.022	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	20:55:00	US/Eastern
XLFS	2016-06-10 01:10:00	-0.025	-0.001	0.006	-4.249	-0.022	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	21:10:00	US/Eastern
XLFS	2016-06-10 01:25:00	-0.025	-0.001	0.006	-4.249	-0.022	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	21:25:00	US/Eastern
XLFS	2016-06-10 01:40:00	-0.025	-0.001	0.006	-4.249	-0.022	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	21:40:00	US/Eastern
XLFS	2016-06-10 01:55:00	-0.025	-0.001	0.006	-4.249	-0.021	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	21:55:00	US/Eastern
XLFS	2016-06-10 02:10:00	-0.025	-0.001	0.006	-4.249	-0.021	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	22:10:00	US/Eastern
XLFS	2016-06-10 02:25:00	-0.025	-0.001	0.006	-4.249	-0.021	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	22:25:00	US/Eastern
XLFS	2016-06-10 02:40:00	-0.025	-0.001	0.006	-4.249	-0.021	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	22:40:00	US/Eastern
XLFS	2016-06-10 02:55:00	-0.025	-0.001	0.006	-4.249	-0.02	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	22:55:00	US/Eastern
XLFS	2016-06-10 03:10:00	-0.025	-0.001	0.006	-4.249	-0.02	-0.001	0.005	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	23:10:00	US/Eastern
XLFS	2016-06-10 03:25:00	-0.025	-0.001	0.006	-4.249	-0.02	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	23:25:00	US/Eastern
XLFS	2016-06-10 03:40:00	-0.025	-0.001	0.006	-4.249	-0.02	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	23:40:00	US/Eastern
XLFS	2016-06-10 03:55:00	-0.025	-0.001	0.006	-4.249	-0.02	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-09	23:55:00	US/Eastern
XLFS	2016-06-10 04:10:00	-0.025	-0.001	0.006	-4.249	-0.019	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	00:10:00	US/Eastern
XLFS	2016-06-10 04:25:00	-0.025	-0.001	0.006	-4.249	-0.019	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	00:25:00	US/Eastern
XLFS	2016-06-10 04:40:00	-0.025	-0.001	0.006	-4.249	-0.019	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	00:40:00	US/Eastern
XLFS	2016-06-10 04:55:00	-0.025	-0.001	0.006	-4.249	-0.019	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	00:55:00	US/Eastern
XLFS	2016-06-10 05:10:00	-0.025	-0.001	0.006	-4.249	-0.019	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	01:10:00	US/Eastern
XLFS	2016-06-10 05:25:00	-0.025	-0.001	0.006	-4.249	-0.018	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	01:25:00	US/Eastern
XLFS	2016-06-10 05:40:00	-0.025	-0.001	0.006	-4.249	-0.018	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	01:40:00	US/Eastern
XLFS	2016-06-10 05:55:00	-0.025	-0.001	0.006	-4.249	-0.018	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	01:55:00	US/Eastern
XLFS	2016-06-10 06:10:00	-0.025	-0.001	0.006	-4.249	-0.018	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	02:10:00	US/Eastern
XLFS	2016-06-10 06:25:00	-0.025	-0.001	0.006	-4.249	-0.018	-0.001	0.004	-4.249	2	0.1	0.447	4.249	1.0	2.206	0.0	2016-06-10	02:25:00	US/Eastern
