Social Market Analytics v2.0.0 - Realtime Twitter Sentiment Data - RRF.txt

Data for: 2016-06-24 13:55:00 UTC - 2016-12-24 18:25:00 UTC
Generated: 2018-07-16 10:07:47 UTC

ticker	date	raw-s	raw-s-mean	raw-volatility	raw-score	s	s-mean	s-volatility	s-score	s-volume	sv-mean	sv-volatility	sv-score	s-dispersion	s-buzz	s-delta	center-date	center-time	center-time-zone
RRF	2016-06-24 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	14:55:00	US/Eastern
RRF	2016-06-24 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	15:10:00	US/Eastern
RRF	2016-06-24 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	15:25:00	US/Eastern
RRF	2016-06-24 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	15:40:00	US/Eastern
RRF	2016-06-24 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	15:55:00	US/Eastern
RRF	2016-06-24 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	16:10:00	US/Eastern
RRF	2016-06-24 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	16:25:00	US/Eastern
RRF	2016-06-24 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	16:40:00	US/Eastern
RRF	2016-06-24 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	16:55:00	US/Eastern
RRF	2016-06-24 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	17:10:00	US/Eastern
RRF	2016-06-24 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	17:25:00	US/Eastern
RRF	2016-06-24 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	17:40:00	US/Eastern
RRF	2016-06-24 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	17:55:00	US/Eastern
RRF	2016-06-24 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	18:10:00	US/Eastern
RRF	2016-06-24 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	18:25:00	US/Eastern
RRF	2016-06-24 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	18:40:00	US/Eastern
RRF	2016-06-24 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	18:55:00	US/Eastern
RRF	2016-06-24 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	19:10:00	US/Eastern
RRF	2016-06-24 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	19:25:00	US/Eastern
RRF	2016-06-24 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	19:40:00	US/Eastern
RRF	2016-06-24 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	19:55:00	US/Eastern
RRF	2016-06-25 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	20:10:00	US/Eastern
RRF	2016-06-25 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	20:25:00	US/Eastern
RRF	2016-06-25 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	20:40:00	US/Eastern
RRF	2016-06-25 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	20:55:00	US/Eastern
RRF	2016-06-25 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	21:10:00	US/Eastern
RRF	2016-06-25 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	21:25:00	US/Eastern
RRF	2016-06-25 01:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	21:40:00	US/Eastern
RRF	2016-06-25 01:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	21:55:00	US/Eastern
RRF	2016-06-25 02:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	22:10:00	US/Eastern
RRF	2016-06-25 02:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	22:25:00	US/Eastern
RRF	2016-06-25 02:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	22:40:00	US/Eastern
RRF	2016-06-25 02:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	22:55:00	US/Eastern
RRF	2016-06-25 03:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	23:10:00	US/Eastern
RRF	2016-06-25 03:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	23:25:00	US/Eastern
RRF	2016-06-25 03:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	23:40:00	US/Eastern
RRF	2016-06-25 03:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-24	23:55:00	US/Eastern
RRF	2016-06-25 04:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	00:10:00	US/Eastern
RRF	2016-06-25 04:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	00:25:00	US/Eastern
RRF	2016-06-25 04:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	00:40:00	US/Eastern
RRF	2016-06-25 04:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	00:55:00	US/Eastern
RRF	2016-06-25 05:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	01:10:00	US/Eastern
RRF	2016-06-25 05:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	01:25:00	US/Eastern
RRF	2016-06-25 05:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	01:40:00	US/Eastern
RRF	2016-06-25 05:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	01:55:00	US/Eastern
RRF	2016-06-25 06:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	02:10:00	US/Eastern
RRF	2016-06-25 06:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	02:25:00	US/Eastern
RRF	2016-06-25 06:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	02:40:00	US/Eastern
RRF	2016-06-25 06:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	02:55:00	US/Eastern
RRF	2016-06-25 07:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	03:10:00	US/Eastern
RRF	2016-06-25 07:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	03:25:00	US/Eastern
RRF	2016-06-25 07:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	03:40:00	US/Eastern
RRF	2016-06-25 07:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	03:55:00	US/Eastern
RRF	2016-06-25 08:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	04:10:00	US/Eastern
RRF	2016-06-25 08:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	04:25:00	US/Eastern
RRF	2016-06-25 08:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	04:40:00	US/Eastern
RRF	2016-06-25 08:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	04:55:00	US/Eastern
RRF	2016-06-25 09:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	05:10:00	US/Eastern
RRF	2016-06-25 09:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	05:25:00	US/Eastern
RRF	2016-06-25 09:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	05:40:00	US/Eastern
RRF	2016-06-25 09:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	05:55:00	US/Eastern
RRF	2016-06-25 10:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	06:10:00	US/Eastern
RRF	2016-06-25 10:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	06:25:00	US/Eastern
RRF	2016-06-25 10:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	06:40:00	US/Eastern
RRF	2016-06-25 10:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	06:55:00	US/Eastern
RRF	2016-06-25 11:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	07:10:00	US/Eastern
RRF	2016-06-25 11:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	07:25:00	US/Eastern
RRF	2016-06-25 11:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	07:40:00	US/Eastern
RRF	2016-06-25 11:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	07:55:00	US/Eastern
RRF	2016-06-25 12:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	08:10:00	US/Eastern
RRF	2016-06-25 12:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	08:25:00	US/Eastern
RRF	2016-06-25 12:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	08:40:00	US/Eastern
RRF	2016-06-25 12:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	2.249	0.0	2016-06-25	08:55:00	US/Eastern
RRF	2016-06-25 13:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.1	0.447	4.249	1.0	3.119	0.0	2016-06-25	09:10:00	US/Eastern
RRF	2016-06-25 13:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.101	0.449	4.225	1.0	3.119	0.0	2016-06-25	09:25:00	US/Eastern
RRF	2016-06-25 13:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2	0.102	0.452	4.203	1.0	3.119	0.0	2016-06-25	09:40:00	US/Eastern
RRF	2016-07-12 13:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	09:55:00	US/Eastern
RRF	2016-07-12 14:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	10:10:00	US/Eastern
RRF	2016-07-12 14:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	10:25:00	US/Eastern
RRF	2016-07-12 14:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	10:40:00	US/Eastern
RRF	2016-07-12 14:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	10:55:00	US/Eastern
RRF	2016-07-12 15:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	11:10:00	US/Eastern
RRF	2016-07-12 15:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	11:25:00	US/Eastern
RRF	2016-07-12 15:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	11:40:00	US/Eastern
RRF	2016-07-12 15:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	11:55:00	US/Eastern
RRF	2016-07-12 16:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	12:10:00	US/Eastern
RRF	2016-07-12 16:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	12:25:00	US/Eastern
RRF	2016-07-12 16:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	12:40:00	US/Eastern
RRF	2016-07-12 16:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	12:55:00	US/Eastern
RRF	2016-07-12 17:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	13:10:00	US/Eastern
RRF	2016-07-12 17:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	13:25:00	US/Eastern
RRF	2016-07-12 17:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	13:40:00	US/Eastern
RRF	2016-07-12 17:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	13:55:00	US/Eastern
RRF	2016-07-12 18:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	14:10:00	US/Eastern
RRF	2016-07-12 18:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	14:25:00	US/Eastern
RRF	2016-07-12 18:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	14:40:00	US/Eastern
RRF	2016-07-12 18:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	14:55:00	US/Eastern
RRF	2016-07-12 19:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	15:10:00	US/Eastern
RRF	2016-07-12 19:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	15:25:00	US/Eastern
RRF	2016-07-12 19:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	15:40:00	US/Eastern
RRF	2016-07-12 19:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	15:55:00	US/Eastern
RRF	2016-07-12 20:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	16:10:00	US/Eastern
RRF	2016-07-12 20:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	16:25:00	US/Eastern
RRF	2016-07-12 20:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	16:40:00	US/Eastern
RRF	2016-07-12 20:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	16:55:00	US/Eastern
RRF	2016-07-12 21:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	17:10:00	US/Eastern
RRF	2016-07-12 21:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	17:25:00	US/Eastern
RRF	2016-07-12 21:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	17:40:00	US/Eastern
RRF	2016-07-12 21:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	17:55:00	US/Eastern
RRF	2016-07-12 22:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	18:10:00	US/Eastern
RRF	2016-07-12 22:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	18:25:00	US/Eastern
RRF	2016-07-12 22:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	18:40:00	US/Eastern
RRF	2016-07-12 22:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	18:55:00	US/Eastern
RRF	2016-07-12 23:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	19:10:00	US/Eastern
RRF	2016-07-12 23:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	19:25:00	US/Eastern
RRF	2016-07-12 23:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	19:40:00	US/Eastern
RRF	2016-07-12 23:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	19:55:00	US/Eastern
RRF	2016-07-13 00:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	20:10:00	US/Eastern
RRF	2016-07-13 00:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	20:25:00	US/Eastern
RRF	2016-07-13 00:40:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	20:40:00	US/Eastern
RRF	2016-07-13 00:55:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	20:55:00	US/Eastern
RRF	2016-07-13 01:10:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	21:10:00	US/Eastern
RRF	2016-07-13 01:25:00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1	0.15	0.489	1.737	1.0	2.227	0.0	2016-07-12	21:25:00	US/Eastern
